"No.","Time","Source","Destination","Protocol","Length","Info"
"930","1.127738","192.168.0.7","183.87.151.14","UDP","81","53289  >  443 Len=39"
"931","1.128268","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"932","1.129894","192.168.0.7","183.87.151.14","UDP","78","53289  >  443 Len=36"
"933","1.131905","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"934","1.131906","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"935","1.133170","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"936","1.133344","192.168.0.7","183.87.151.14","UDP","84","53289  >  443 Len=42"
"937","1.134820","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"938","1.136685","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"939","1.136861","192.168.0.7","183.87.151.14","UDP","94","53289  >  443 Len=52"
"940","1.138027","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"941","1.138028","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"942","1.139882","192.168.0.7","183.87.151.14","UDP","81","53289  >  443 Len=39"
"943","1.140110","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"944","1.140112","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"945","1.140113","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"946","1.140954","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"947","1.140955","172.217.166.174","192.168.0.7","SSL","1414","Continuation Data"
"948","1.141436","192.168.0.7","183.87.151.14","UDP","87","53289  >  443 Len=45"
"949","1.141580","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"950","1.142880","192.168.0.7","183.87.151.14","UDP","78","53289  >  443 Len=36"
"951","1.143368","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"952","1.145240","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"953","1.145241","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"954","1.145243","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"955","1.145624","192.168.0.7","183.87.151.14","UDP","87","53289  >  443 Len=45"
"956","1.145916","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"957","1.147188","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"958","1.147188","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"959","1.147396","192.168.0.7","183.87.151.14","UDP","84","53289  >  443 Len=42"
"960","1.149613","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"961","1.149614","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"962","1.149614","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"963","1.149616","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"964","1.152735","192.168.0.7","183.87.151.14","UDP","87","53289  >  443 Len=45"
